lemma;id;part_of_speech;forms
ноевъ;120605;adjective;pl., m., nom., pos., strong, infl.:ноеви
симъ;120606;proper noun;sg., m., nom., infl.:симъ|sg., m., dat., infl.:симови|sg., m., gen., infl.:сима
хамъ;120607;proper noun;sg., m., nom., infl.:хамъ|sg., m., dat., infl.:Хамови|sg., m., gen., infl.:хама
афетъ;120608;proper noun;sg., m., nom., infl.:афетъ|sg., m., dat., infl.:Афету|sg., m., gen., infl.:афета
трисъта;120615;cardinal numeral;non-infl.:т҃,т,300
за;120616;preposition;non-infl.:за,иа,За
сице;120617;adverb;non-infl.:сице,сіце
третии;120619;ordinal numeral;sg., m., dat., infl.:третьему,третьѥму|sg., f., loc., infl.:третьеи|sg., m., nom., infl.:третии,третеи|sg., f., nom., infl.:третьяя|sg., m., acc., infl.:третии,г҃.и,.г҃.и,третїи,третеи,третьиї,третьии|sg., m., loc., infl.:третьем,третьемъ|non-infl.:г҃.и|sg., n., acc., infl.:третьее,г҃.ѥе,третие,третьїе,третье|pl., m., acc., infl.:третие|sg., m., gen., infl.:третьꙗгѡ,г҃.го,третева|sg., n., nom., infl.:третьѥѥ,третье|sg., f., acc., infl.:третюю|pl., f., gen., infl.:третихъ|sg., n., loc., infl.:трете
обладати;120621;verb;3rd p., sg., imperf., ind., act., infl.:ѡбладаше|sg., pres., part., act., m., nom., strong, infl.:ѡбладая|3rd p., pl., imperf., ind., act., infl.:ѡбладаху|3rd p., sg., aor., ind., act., infl.:ѡблада|sg., pres., part., act., m., gen., strong, infl.:ѡбладающа|3rd p., pl., pres., ind., act., infl.:ѡбладають
испросити;120622;verb;3rd p., du., aor., ind., act., infl.:испросиста|sg., pres., part., act., f., nom., strong, infl.:ꙇспрося|3rd p., sg., aor., ind., act., infl.:испроси
чии;120624;interrogative pronoun;sg., m., nom., infl.:чии,чеи|du., m., nom., infl.:чья|sg., n., ins., infl.:чим|pl., m., nom., infl.:чье|sg., f., nom., infl.:чья
изгънати;120626;verb;3rd p., pl., aor., ind., act., infl.:Изъгнаша,ꙇзгнаша|3rd p., pl., pres., ind., act., infl.:иженуть,ижденуть|3rd p., sg., aor., ind., act., infl.:игзнъа|sg., past, part., pass., m., nom., strong, infl.:изгнанъ|sg., result., part., act., m., nom., strong, infl.:ꙇзгнал|pl., result., part., act., m., nom., strong, infl.:ꙇзгнали
варягъ;120627;common noun;pl., m., nom., infl.:варѧзи|pl., m., gen., infl.:варѧгъ|pl., m., acc., infl.:варѧги,вариги,варѧгы,вѧрѧгы|pl., m., dat., infl.:варѧгомъ|pl., m., ins., infl.:варѧги,варѧгы|du., m., nom., infl.:варѧга|sg., m., nom., infl.:варѧгъ|du., m., acc., infl.:варѧга,варꙗга
дати;120628;verb;3rd p., pl., aor., ind., act., infl.:даша|3rd p., sg., imperf., ind., act., infl.:дадѧше,дадꙗше|3rd p., sg., aor., ind., act., infl.:дастъ,дасть,да,даст,дас|3rd p., sg., pres., ind., act., infl.:дасть,дастъ,даст|3rd p., pl., pres., ind., act., infl.:дадѧть,дадѹтъ,дадѹт,дадѹть,дадутъ|sg., result., part., act., m., nom., strong, infl.:далъ,дал|1st p., sg., pres., ind., act., infl.:дамъ,дамь,дам|2nd p., pl., pres., imp., act., infl.:даите,дадите|1st p., sg., aor., ind., act., infl.:дахъ|pres., inf., act., infl.:дати,дать,дат|2nd p., sg., pres., imp., act., infl.:дажь,даи,даждь,дажъ,дай|3rd p., pl., imperf., ind., act., infl.:дадѧху|3rd p., sg., pres., imp., act., infl.:дажь,даи|1st p., du., pres., ind., act., infl.:давѣ|sg., past, part., act., m., nom., strong, infl.:давъ,дав|sg., past, part., act., m., gen., weak, infl.:давшаго,давъшаго|2nd p., du., pres., imp., act., infl.:даита|2nd p., pl., pres., ind., act., infl.:дадите|sg., past, part., pass., f., nom., strong, infl.:дана|2nd p., sg., pres., ind., act., infl.:дашъ,даси|sg., past, part., pass., n., nom., strong, infl.:дано,данѡ|pl., pres., part., act., m., nom., strong, infl.:дадуче,дадѹще|pl., result., part., act., m., nom., strong, infl.:дали|sg., result., part., act., f., nom., strong, infl.:дала|pl., past, part., pass., m., nom., strong, infl.:даны|sg., pres., part., act., m., nom., strong, infl.:даꙗ,дада|sg., pres., part., act., m., nom., weak, infl.:дадыи|1st p., pl., pres., ind., act., infl.:дамы
шесть тысячь;120630;cardinal numeral;non-infl.:҂ѕ҃,҂ѕ,҂·ѕ҃,҂ᴤ҃
шестьдесятъ;120634;cardinal numeral;non-infl.:ѯ҃,ѯ,ѯ͠|sg., f., acc., infl.:шестьдесѧт,шестьдесят
почати;120637;verb;3rd p., pl., aor., ind., act., infl.:почаша|1st p., pl., pres., ind., act., infl.:почнем|pl., result., part., act., m., nom., strong, infl.:почали|3rd p., sg., aor., ind., act., infl.:По,Поча,поча|3rd p., sg., pres., ind., act., infl.:почаеть,почнеть,почьнеть|sg., result., part., act., m., nom., strong, infl.:почалъ,почал|2nd p., sg., pres., ind., act., infl.:почнешь|pres., inf., act., infl.:почнет|3rd p., du., aor., ind., act., infl.:почаста|1st p., sg., aor., ind., act., infl.:почахъ,почах,почаяхъ|sg., past, part., pass., f., nom., strong, infl.:Почата|sg., past, part., pass., n., acc., weak, infl.:початое|sg., past, part., pass., f., nom., weak, infl.:початаѧ|pl., past, part., pass., m., nom., weak, infl.:початые
володѣти;120638;verb;pl., pres., part., act., m., dat., strong, infl.:володѣющемъ|3rd p., pl., pres., ind., act., infl.:володѣють|pres., inf., act., infl.:володѣти|sg., result., part., act., m., nom., strong, infl.:володѣлъ|sg., pres., part., act., m., nom., strong, infl.:володѣя
правьда;120639;common noun;sg., f., gen., infl.:правды,правьды|sg., f., acc., infl.:правду,правьду,правдѹ,правдоу|sg., f., nom., infl.:пр҃вда,правда|sg., f., dat., infl.:правдѣ|sg., f., ins., infl.:правдою|sg., f., loc., infl.:правде,правдѣ
усобица;120640;common noun;pl., f., nom., infl.:усобицѣ|sg., f., nom., infl.:оусобица|sg., f., gen., infl.:оусобицѣ
воевати;120641;verb;3rd p., pl., imperf., ind., act., infl.:воеваху|pres., inf., act., infl.:воевати,воѥвати,воеват|3rd p., sg., pres., ind., act., infl.:воюеть,воюетъ|3rd p., pl., pres., ind., act., infl.:воюють,воють|sg., pres., part., act., m., nom., strong, infl.:воюя|1st p., pl., pres., ind., act., infl.:воюемъ,воюѥмъ|sup., acc., infl.:воеватъ|pl., past, part., act., m., nom., strong, infl.:воевавше|pl., pres., part., act., m., dat., weak, infl.:воюющим|3rd p., pl., aor., ind., act., infl.:Воеваша,воеваша,воѥваша|pl., pres., part., act., m., nom., strong, infl.:воюючи,воююче|3rd p., sg., aor., ind., act., infl.:воева,воѥва|2nd p., pl., aor., ind., act., infl.:воевасте
рещи;120642;verb;pres., inf., act., infl.:рещи,рещи-,рчи:,речи,рѣши|pl., past, part., act., m., nom., strong, infl.:рекше,рекъше|3rd p., sg., aor., ind., act., infl.:реч,рече,Реч,рьч,Рече,рѣче,реч҃|3rd p., pl., aor., ind., act., infl.:рѣша,рекоша,рекъша,рокоша,рѣше|1st p., pl., aor., ind., act., infl.:рекохомъ,реком,рекохом,рѣхом|sg., past, part., act., n., acc., strong, infl.:рекше,рекъше|pl., pres., part., pass., m., nom., weak, infl.:рекомии|3rd p., du., aor., ind., act., infl.:рѣста,рекоста|sg., past, part., act., m., nom., strong, infl.:рекъ,рек,ркъ,рк,рѣхъ|sg., pres., part., act., m., nom., strong, infl.:рька,река|pl., pres., part., act., m., nom., strong, infl.:рькуще,рекуще,ркуще|2nd p., pl., pres., imp., act., infl.:рьцѣте,рцѣте,речете|sg., pres., part., act., f., nom., strong, infl.:рькуще,рькущи,ркучи|sg., past, part., pass., n., nom., strong, infl.:речно,речено,реченно|2nd p., sg., pres., imp., act., infl.:рьци,речши,рцї,рци|sg., past, part., act., f., nom., strong, infl.:рекъши,рекши|1st p., pl., pres., imp., act., infl.:рцѣмъ|sg., pres., part., pass., m., acc., weak, infl.:рекомыи|sg., result., part., act., m., nom., strong, infl.:реклъ,рекъ,рек|1st p., sg., aor., ind., act., infl.:рекохъ,рѣхъ,рекох,рѣкъхъ|1st p., sg., pres., ind., act., infl.:реку,рекѹ|sg., past, part., act., m., dat., strong, infl.:рекшю,рекши,рекъшю|2nd p., pl., aor., ind., act., infl.:рѣсте|du., past, part., act., m., dat., strong, infl.:рекшема|3rd p., sg., imperf., ind., act., infl.:речаше|3rd p., sg., pres., ind., act., infl.:речть,речетъ,речеть|sg., pres., part., act., m., dat., strong, infl.:рекущю,рекѹщю|3rd p., pl., pres., ind., act., infl.:рекуть,рекутъ,рекѹть|1st p., pl., pres., ind., act., infl.:речмъ,речем|du., result., part., act., m., nom., strong, infl.:рекла|pl., result., part., act., m., nom., strong, infl.:рекли,ркли|sg., pres., part., act., m., nom., weak, infl.:рекыи|du., past, part., act., m., nom., strong, infl.:рекъша|sg., past, part., act., n., gen., weak, infl.:рекъшааго|sg., past, part., act., m., gen., strong, infl.:рекъша|sg., past, part., pass., n., nom., weak, infl.:реченоѥ|pl., past, part., pass., n., ins., weak, infl.:реченными|sg., pres., part., pass., m., nom., strong, infl.:рк|1st p., du., pres., ind., act., infl.:речеве|sup., nom., infl.:реч|sg., past, part., act., n., acc., weak, infl.:рекъшеѥ|2nd p., pl., pres., ind., act., infl.:речете|sg., past, part., act., m., dat., weak, infl.:рекъшюѹмѹ|pl., past, part., act., m., dat., strong, infl.:рекъшемъ|sg., past, part., act., n., nom., weak, infl.:рекшеѥ|sg., past, part., act., m., gen., weak, infl.:рекъшааго|sg., pres., part., act., m., gen., strong, infl.:рекѹща
поискати;120643;verb;1st p., pl., pres., ind., act., infl.:поищемъ|2nd p., sg., pres., ind., act., infl.:поищеши
кънязь;120644;common noun;sg., m., dat., infl.:кнѧзю,Кнѧзю,князю,кнꙗзю,кн҃ѕю,кн҃зю,кънѧзю,кн҃ѧзю|sg., m., voc., infl.:кнѧже,кнѧ,кънѧже|sg., m., gen., infl.:кнѧзѧ,князя,кнѧѕѧ,кн҃ѕѧ,кн҃зя,кн҃зѧ,кнꙗзѧ,кнꙗзꙗ,кнѧзꙗ,кн҃ѧзѧ|du., m., nom., infl.:кнѧзѧ,кнꙗзꙗ|pl., m., dat., infl.:кнѧземъ,кнѧзем,кънꙗземъ|pl., m., gen., infl.:кнѧзь,кнѧзии,князь,князей,кн҃зеи|sg., m., nom., infl.:кнѧзь,князь,Князь,кн҃зь,кнꙗзь,кънѧзь,кнѧзъ,к҃нзь,кн҃ѧзь|sg., m., ins., infl.:кнѧземъ,кнѧземь,кнѧзем,князем,кнꙗзьмь,кнѧзьмь|sg., m., acc., infl.:кнѧзь,кн҃зь|pl., m., nom., infl.:кнѧзи,князи,кнꙗзи|sg., m., loc., infl.:кнѧзѣ,кнѧзи,князи,князе|pl., m., loc., infl.:кнѧзехъ,кънѧзьхъ,кнѧзихъ|pl., m., ins., infl.:кнѧзи,князьми|pl., m., acc., infl.:кнѧзи|du., m., acc., infl.:кнѧзѧ,кнꙗзꙗ
судити;120645;verb;sg., result., part., act., m., nom., strong, infl.:судилъ|2nd p., sg., pres., imp., act., infl.:суди|sup., acc., infl.:судитъ|3rd p., sg., imperf., ind., act., infl.:судѧше|pres., inf., act., infl.:судити,сѹдити|sg., pres., part., act., m., nom., weak, infl.:судѧи|2nd p., pl., pres., imp., act., infl.:судите,сѹдите|1st p., sg., pres., ind., act., infl.:сѹжѹ|3rd p., sg., pres., ind., act., infl.:сѹдитъ,сѹдит,сѹдить|3rd p., pl., pres., ind., act., infl.:судѧть
девять;120647;cardinal numeral;non-infl.:ѳ҃,ѳ,9|sg., f., nom., infl.:девет
русь;120648;proper noun;sg., f., nom., infl.:русь,рьсь,рус|sg., f., gen., infl.:руси,рѹси,рꙋси|sg., f., loc., infl.:руси,рꙋси|sg., f., dat., infl.:руси,русі|sg., f., acc., infl.:русь,рѹсь,рус,рѹс|sg., f., ins., infl.:русью
зъвати;120649;verb;sg., pres., part., pass., f., acc., strong, infl.:зовему|3rd p., sg., pres., ind., act., infl.:зовет,зоветь,зоветъ|3rd p., pl., imperf., ind., act., infl.:зваху,звахуть|3rd p., pl., pres., ind., act., infl.:зовут,зооуть,зовуть,зовутъ,зовѹт,зовѹть|sg., pres., part., pass., f., nom., weak, infl.:зовомая|1st p., sg., aor., ind., act., infl.:звахъ|pres., inf., act., infl.:звати|2nd p., pl., pres., ind., act., infl.:зовѣте|sg., past, part., pass., m., nom., strong, infl.:званъ|pl., past, part., pass., m., gen., weak, infl.:званных,званныхъ|sg., past, part., act., m., nom., weak, infl.:звавыи|sg., past, part., pass., m., nom., weak, infl.:званои|pl., pres., part., act., m., nom., strong, infl.:звали|pl., result., part., act., m., nom., strong, infl.:звали|sg., pres., part., pass., m., nom., strong, infl.:зовомъ|sg., pres., part., act., m., nom., strong, infl.:зовѹщь
яко;120650;relative adverb;non-infl.:яко,ꙗко,ѧко,яко же,ко,ꙗк
другыи;120651;adjective;sg., f., nom., pos., weak, infl.:другая,дрѹгаа|sg., f., acc., pos., weak, infl.:другую,дрѹгѹю|pl., m., nom., pos., weak, infl.:друзии,друзіи,дрѹзии,дрꙋзїи|sg., n., acc., pos., weak, infl.:другое,дрȣгоѥ|sg., m., dat., pos., weak, infl.:другому|pl., m., dat., pos., weak, infl.:другимъ,другым,дрѹгыимъ|pl., m., acc., pos., weak, infl.:другия,друзии,другыя,другыѣ,дрѹгыѧ|sg., n., nom., pos., weak, infl.:другое,дрꙋгое|sg., n., gen., pos., weak, infl.:другога,другаго|sg., f., gen., pos., weak, infl.:другоѣ,дрѹгїѧ,другия|pl., m., dat., pos., strong, infl.:другомъ|pl., f., loc., pos., weak, infl.:другых|sg., m., acc., pos., weak, infl.:другыи|sg., m., loc., pos., strong, infl.:друзѣмь,друзѣ|pl., m., ins., pos., weak, infl.:другыми|sg., m., nom., pos., weak, infl.:другыи,дрѹгыи|sg., m., gen., pos., weak, infl.:другаго,дрѹгаго|pl., m., nom., pos., strong, infl.:другї|sg., m., ins., pos., weak, infl.:другымь|pl., f., nom., pos., weak, infl.:другыя,дрѹгыѧ|sg., m., dat., pos., strong, infl.:дрѹгѹ|sg., m., loc., pos., weak, infl.:другомъ
свои;120652;common noun;pl., m., nom., infl.:свое
урмане;120653;common noun;pl., m., nom., infl.:оурмане
аньгляне;120654;common noun;pl., m., nom., infl.:анъглѧне|pl., m., dat., infl.:аньгеломъ
готе;120655;common noun;pl., m., nom., infl.:гъте
чудь;120661;proper noun;sg., f., nom., infl.:чюдь|sg., f., loc., infl.:чюди|sg., f., acc., infl.:чюдь|sg., f., gen., infl.:чюди
словѣнинъ;120662;common noun;pl., m., nom., infl.:словѣне,словѣни|pl., m., gen., infl.:словѣнъ,словень|pl., m., acc., infl.:словѣни,словѣны,словѣнѣ|pl., m., dat., infl.:словѣномъ|pl., m., loc., infl.:словѣнѣх|pl., m., ins., infl.:словѣны|sg., m., nom., infl.:словѣнинъ
кривичи;120663;common noun;pl., m., nom., infl.:кривичи|pl., m., acc., infl.:кривичи|pl., m., ins., infl.:кривичи|pl., m., dat., infl.:кривичемъ|pl., m., gen., infl.:кривичь
нашь;120664;possessive pronoun;1st p., sg., f., nom., infl.:наша|1st p., sg., m., nom., infl.:нашь,наш,н҃шь|1st p., sg., n., dat., infl.:нашему,нашемѹ|1st p., sg., m., dat., infl.:нашему,нашемѹ,н҃шмꙋ|1st p., sg., f., loc., infl.:нашеи|1st p., pl., m., nom., infl.:наши,нашї,н҃ша|1st p., sg., f., gen., infl.:нашея,нашеꙗ,нашеѧ,нашеи,н҃шеи|1st p., sg., n., gen., infl.:нашего,нашева,н҃шго|1st p., sg., n., nom., infl.:наше|1st p., pl., n., nom., infl.:наша,н҃ша|1st p., pl., m., acc., infl.:наши,наша,н҃ши,н҃ша|1st p., sg., m., acc., infl.:нашь|1st p., pl., m., gen., infl.:наших,нашихъ,нашего,н҃шхъ,н҃шихъ,н҃ших|1st p., sg., m., gen., infl.:нашего,нашго,н҃шго|1st p., sg., f., acc., infl.:нашю,нашу,н҃шю,нашѹ|1st p., pl., n., dat., infl.:нашим|1st p., pl., m., loc., infl.:наших,нашихъ|1st p., pl., f., dat., infl.:нашим|1st p., sg., m., loc., infl.:нашем,нашемь|1st p., sg., n., acc., infl.:наше|1st p., du., m., nom., infl.:наша|1st p., pl., m., dat., infl.:нашим,нашимъ,нашимь,н҃шим,н҃шимъ|1st p., pl., f., gen., infl.:наших,нашея,нашихъ,нашиихъ|1st p., pl., m., ins., infl.:нашими|1st p., pl., n., gen., infl.:наших|1st p., du., n., nom., infl.:наши|1st p., pl., n., acc., infl.:наша,н҃ша|1st p., du., f., acc., infl.:наши|1st p., pl., n., loc., infl.:наших|1st p., pl., f., acc., infl.:наша|1st p., pl., f., loc., infl.:наших,нашихъ|1st p., sg., n., loc., infl.:нашемъ,нашем|1st p., sg., f., dat., infl.:нашей,нашеи|1st p., pl., m./f., nom., infl.:наши|1st p., du., n., loc., infl.:нашу|1st p., sg., f., ins., infl.:нашею|1st p., sg., m., ins., infl.:нашимь|1st p., sg., n., ins., infl.:н҃шим
обильныи;120665;adjective;sg., f., nom., pos., strong, infl.:ѡбилна
нарядъ;120666;common noun;sg., m., gen., infl.:нарѧда|sg., m., acc., infl.:нарѧдъ
нѣту;120667;verb;non-infl.:нѣтъ,нѣту,нѣт,нет,нетъ,нѣтуть
избрати;120668;verb;3rd p., pl., aor., ind., act., infl.:изъбраша,избраша|pl., past, part., pass., m., nom., weak, infl.:избрании|sg., past, part., pass., m., nom., weak, infl.:избраннои|pl., past, part., pass., m., ins., weak, infl.:ꙇзбранными,изʼбранʼными,избранʼными|pl., past, part., pass., m., gen., weak, infl.:изʼбранʼныхъ,избранʼныхъ
братия;120670;common noun;sg., f., gen., infl.:братьѣ,братья,братя,братьи,брати,бртая,братѣ,братїи,братиꙗ,братиѣ|sg., f., nom., infl.:братья,братя,братьѧ,братиꙗ,братьꙗ,братꙗ,братїа|sg., f., loc., infl.:братьи,братїи|sg., f., acc., infl.:братью,братю,братию,братїю|sg., f., dat., infl.:братьи,братьѣ,братѣ,брати,брате,братье,брат,братии|pl., f., nom., infl.:братьѣ,братиꙗ|sg., f., ins., infl.:братею,братьею,братиѥю,братиею|sg., f., voc., infl.:братья,братие,братиѥ,братиꙗ,братиѣ,братїе|pl., f., loc., infl.:братьях|pl., f., dat., infl.:братїамъ
пояти;120673;verb;3rd p., pl., aor., ind., act., infl.:пояша|sg., past, part., act., m., nom., strong, infl.:поимъ,поемъ,поим|3rd p., sg., aor., ind., act., infl.:поя,поꙗтъ|3rd p., pl., pres., ind., act., infl.:поимуть,поимѹть|1st p., pl., pres., imp., act., infl.:поимемъ|sg., past, part., act., f., nom., strong, infl.:поимши,поемши,поимъши|pres., inf., act., infl.:пояти,поꙗти,поѧти|sg., result., part., act., m., nom., strong, infl.:поялъ,поꙗлъ|2nd p., sg., pres., imp., act., infl.:поими|pl., past, part., act., m., nom., strong, infl.:поимше,поемше|2nd p., pl., pres., imp., act., infl.:поимѣте|1st p., sg., aor., ind., act., infl.:пояхъ|1st p., pl., aor., ind., act., infl.:пояхом|3rd p., sg., pres., ind., act., infl.:поиметь,поиметъ,пѡиметь,пѡꙇиметь,пѡꙇметь,поꙗстʼ
рюрикъ;120674;proper noun;sg., m., nom., infl.:рюрикъ|sg., m., dat., infl.:рюрику,рюрикови
синеусъ;120675;proper noun;sg., m., nom., infl.:синеоусъ
бѣлоозеро;120676;proper noun;sg., n., loc., infl.:бѣлѣѡзерѣ|sg., n., acc., infl.:бѣлоѡзеро
изборьскъ;120677;proper noun;sg., m., loc., infl.:изборьстѣ
труворъ;120678;proper noun;sg., m., nom., infl.:труворъ
другыи;120680;ordinal numeral;sg., m., dat., infl.:другому,дрѹгомѹ|sg., m., nom., infl.:другии,другїи,другои|sg., m., acc., infl.:другии,другой,другои,другїи,дрѹгыи|sg., m., ins., infl.:другим,дрѹгыимь|sg., f., loc., infl.:другой,дрѹгои|sg., n., acc., infl.:дрѹгое,другое,дрѹгоѥ|sg., m., loc., infl.:дрѹгомъ,другом|sg., n., gen., infl.:дрѹгово|sg., f., gen., infl.:дрѹгои|pl., m., acc., infl.:дрѹгїе,дрꙋгїе,дрꙋгїа|sg., m., gen., infl.:другагѡ,другова|sg., f., nom., infl.:другая|sg., f., dat., infl.:другои,дрꙋгои|sg., f., acc., infl.:другую|pl., f., acc., infl.:другие|sg., f., ins., infl.:дрꙋгою|sg., n., loc., infl.:дрѹгомъ
прозъвати;120681;verb;3rd p., pl., aor., ind., act., infl.:прозваша,прозва,презва,прозвшаа|3rd p., sg., aor., ind., act., infl.:прозва|3rd p., sg., pres., ind., act., infl.:прозовет|3rd p., pl., pres., ind., act., infl.:прозооуть
прѣже;120682;adverb;non-infl.:преже,преже.,преж,прѣже,прѣжѣ
новъгородьць;120683;common noun;pl., m., nom., infl.:нооугородьци,новугородьци,новгородци,новгорци|pl., m., dat., infl.:новгородцем,новгородцемъ,наугородцом|pl., m., gen., infl.:новгородець|pl., m., acc., infl.:новгородцѣ,новгородци|pl., m., ins., infl.:новгородьци,новъгородци,новгородци|sg., m., dat., infl.:новгородцю,новгорьцю|sg., m., nom., infl.:новгородець
варяжьскыи;120684;adjective;sg., n., dat., pos., weak, infl.:варѧжьскому|sg., n., acc., pos., weak, infl.:варѧжьское|sg., m., gen., pos., strong, infl.:варѧжьска|sg., m., ins., pos., weak, infl.:варѧжьскым
умьрѣти;120686;verb;3rd p., sg., imperf., ind., act., infl.:оумрѧше|3rd p., sg., aor., ind., act., infl.:оумре,Оумре,умре,ѹмрѣтъ,ѹмьре|sg., past, part., act., m., dat., strong, infl.:оумершю,ѹмьръшю|pres., inf., act., infl.:оумрети,оумр҃ті,умрети,ѹмрети,умереть,оумр҃ти|2nd p., du., pres., ind., act., infl.:оумрета|sg., past, part., act., m., gen., weak, infl.:оумр҃шаго|sg., past, part., act., m., nom., strong, infl.:оум҃ръ|sg., result., part., act., m., nom., strong, infl.:оумерелъ,оумерлъ,умьрлъ,умер|3rd p., sg., pres., ind., act., infl.:оумреть,ѹмреть,оумретъ,оумрет,умереть,умретъ,ѹмьреть,ꙋмреть|1st p., sg., pres., ind., act., infl.:ѹмьрѹ,умру,оумрꙋ|sg., past, part., act., f., acc., strong, infl.:умершу|pl., result., part., act., m., nom., strong, infl.:умерли|2nd p., sg., pres., imp., act., infl.:умри|sg., result., part., act., f., nom., strong, infl.:умерла|1st p., pl., pres., ind., act., infl.:умрем,умремъ,оумремъ|pl., result., part., act., n., nom., strong, infl.:умерли|pl., past, part., act., m., nom., strong, infl.:умерши|1st p., pl., pres., imp., act., infl.:оумремъ
раздаяти;120688;verb;3rd p., sg., aor., ind., act., infl.:раздая|pl., past, part., pass., m., dat., strong, infl.:раздаяномъ
мужь;120689;common noun;pl., m., nom., infl.:мужи,мѹж̏,мѹжи,мѹжїе,мѹжы|pl., m., gen., infl.:мужии,мужь.,мужь,мужей,мѹжеи,мѹжей,моужеи,мꙋжеи,моужь|pl., m., ins., infl.:мужи|sg., m., ins., infl.:мужемъ,мѹжемъ,мужемь,мѹжьмь|sg., m., gen., infl.:мужа,мѹжа|pl., m., dat., infl.:мужемъ,мужем,мѹжемъ|du., m., nom., infl.:мужа|sg., m., acc., infl.:мужь,мѹжь,муж,мужъ|sg., m., nom., infl.:мужь,мьжь,мѹжь,мѹж,мужъ|pl., m., acc., infl.:мужѣ,мужи|sg., m., dat., infl.:мужю,мужеви,МУЖУ,мѹжѹ,мѹжеви,Мѹжѹ|sg., m., loc., infl.:мужи,мѹжи,мужѣ|du., m., acc., infl.:мужа|du., m., gen., infl.:мужю
полотьскъ;120690;proper noun;sg., m., acc., infl.:полотескъ|sg., m., loc., infl.:полотьски,полотьскѣ,полочьскѣ|sg., m., dat., infl.:полотьску|sg., m., gen., infl.:полотьска
ростовъ;120691;proper noun;sg., m., acc., infl.:ростовъ|sg., m., loc., infl.:ростовѣ,Ростовѣ|sg., m., dat., infl.:ростову,ростовѹ|sg., m., gen., infl.:ростова
другъ;120692;adjective;sg., m., dat., pos., weak, infl.:другому
городъ;120693;common noun;pl., m., dat., infl.:городомъ,городом|pl., m., acc., infl.:городы,горы|sg., m., gen., infl.:города|sg., m., acc., infl.:городъ,город|pl., m., gen., infl.:городъ,городовъ|sg., m., loc., infl.:городѣ,городе|sg., m., dat., infl.:городу,городѹ|pl., m., loc., infl.:городѣхъ|sg., m., nom., infl.:городъ|pl., m., nom., infl.:городи|sg., m., ins., infl.:городом
находьникъ;120694;common noun;pl., m., nom., infl.:находици
насельникъ;120695;common noun;sg., m., nom., infl.:населници|pl., m., nom., infl.:насельници
новъгородъ;120696;proper noun;sg., m., nom., infl.:новъгородъ|sg., m., loc., infl.:новѣгородѣ,Новегороде,Новѣгородѣ,новегороде|sg., m., gen., infl.:новагорода,Новагорода|sg., m., dat., infl.:новугороду,нооугороду,новуногороду,Новугороду|sg., m., acc., infl.:новъгородъ,Новгород
меря;120697;common noun;sg., f., nom., infl.:мерѧ
весь;120698;proper noun;sg., f., nom., infl.:весь
муромъ;120699;proper noun;sg., m., loc., infl.:муромѣ,Муромѣ|sg., m., dat., infl.:мурому|sg., m., acc., infl.:муромъ
мурома;120700;proper noun;sg., f., nom., infl.:мурома
вѣсть;120701;common noun;sg., f., acc., infl.:вѣсть|sg., f., gen., infl.:вѣсти|sg., f., nom., infl.:вѣсть|pl., f., gen., infl.:вестеи|pl., f., acc., infl.:вѣсти
вратити;120702;verb;3rd p., pl., aor., ind., act., infl.:врати|sg., result., part., act., m., nom., strong, infl.:вратыиѧл
убииство;120703;common noun;sg., n., acc., infl.:оубіиство,оубииство,ѹбииство,убииство,оубїиство|sg., n., gen., infl.:оубииства,убииства,ѹбииства,оубїиства|sg., n., dat., infl.:оубииству|pl., n., acc., infl.:убииства|sg., n., nom., infl.:убииство|sg., n., loc., infl.:ѹбииствѣ
корабль;120705;common noun;pl., m., gen., infl.:корабль|pl., m., nom., infl.:корабли|pl., m., acc., infl.:корабли,кораблѣ,карабли|sg., m., nom., infl.:корабль|sg., m., acc., infl.:корабль|sg., m., gen., infl.:корѧблѧ|du., m., nom., infl.:корабля|pl., m., loc., infl.:кораблѣх,караблехъ
нощь;120707;common noun;sg., f., acc., infl.:нощь,нощ,нощъ,ноч|pl., f., acc., infl.:нощи|sg., f., loc., infl.:нощи|sg., f., gen., infl.:нощи|sg., f., ins., infl.:нощью,ночю,нощию,нощїю|sg., f., nom., infl.:нощь|sg., f., dat., infl.:нощи|pl., f., dat., infl.:ночам
изнести;120708;verb;pl., past, part., act., m., nom., strong, infl.:изнесъше|pres., inf., act., infl.:изнести|2nd p., sg., pres., imp., act., infl.:изнеси|sg., past, part., act., m., nom., strong, infl.:изнесъ|3rd p., pl., pres., ind., act., infl.:изнесѹть
омочити;120709;verb;pl., past, part., act., m., nom., strong, infl.:ѡмочивше
укротити;120711;verb;sg., pres., part., act., n., dat., strong, infl.:оукротившю|2nd p., sg., pres., imp., act., infl.:укроти|pres., inf., act., infl.:укротить
въставити;120713;verb;pres., inf., act., infl.:встави,вставити|3rd p., pl., aor., ind., act., infl.:вставиша|3rd p., sg., aor., ind., act., infl.:вставить
ти;120719;adverb;non-infl.:ти
бояринъ;120724;common noun;du., m., nom., infl.:боярина|pl., m., nom., infl.:бояре,боярѣ,бояря,боꙗре,боꙗрѧ|pl., m., gen., infl.:бояръ,бояр|pl., m., acc., infl.:бояры|pl., m., ins., infl.:бояры,бояре|pl., m., dat., infl.:бояром,боꙗромъ,боѧромъ|pl., m., loc., infl.:боꙗрехъ|sg., m., nom., infl.:боярин,боꙗринъ
