lemma;id;part_of_speech;forms
FIXME;120261;proper noun;sg., m., gen., infl.:милкусѧюча,плоха,илѧ,багрима|sg., m., nom., infl.:ханъ,азаръ,ѹстьꙗнъ,бесермениниъ,фѹна,амьчюкъ|sg., m., acc., infl.:канѹн,хошь|sg., m., dat., infl.:ханѹ,бѹтханѹ,бѹханѹ|sg., m., loc., infl.:бѹханѣ|sg., f., nom., infl.:хѹбѣсиѧ,капкара
тоже;120262;adverb;non-infl.:тоже,тожъ
до;120263;preposition;non-infl.:до,до.,д,До,дао,да
отъ;120266;preposition;non-infl.:ѿ,ѡт,ѿѡ,ѿ.,Ѿ,ѡ тъ,от,ОТ,От,отъ,ѡ҃,ѡ,ото,ѡто,ѡтъ,оть,ѡть
на;120267;preposition;non-infl.:на,н,На,на ,ни,НА,а,не
же;120269;adverb;non-infl.:же,жи,жа,жь,ж,жо,жъ,жк
страна;120270;common noun;sg., f., nom., infl.:страна|pl., f., nom., infl.:страны|sg., f., gen., infl.:страны|pl., f., acc., infl.:страны|sg., f., acc., infl.:страны,страну,странѹ,страноу|pl., f., loc., infl.:странахъ,странах|sg., f., loc., infl.:странѣ|du., f., gen., infl.:страну|pl., f., dat., infl.:странамъ|pl., f., gen., infl.:странъ,стран,странʼ|sg., f., dat., infl.:странѣ|du., f., ins., infl.:странама|du., f., dat., infl.:странома|sg., f., ins., infl.:страною
къ;120272;preposition;non-infl.:ко,к,къ,хъ,К,г,Г,х,и,ъ,кʼ,к꙽
из;120273;preposition;non-infl.:из,изъ,ис,и,изо,изд,ꙇ,ιз,ꙇз,ꙇс,ꙇзо,исъ,изʼ
рѣка;120276;common noun;sg., f., acc., infl.:рѣку,реку|sg., f., nom., infl.:рѣка,река|pl., f., nom., infl.:рѣки,рѣкы,рекы|sg., f., loc., infl.:рѣцѣ,реке,рекѣ|sg., f., dat., infl.:рѣцѣ,рѣкѣ,рекѣ,реке|sg., f., ins., infl.:рѣкою,рекою|sg., f., gen., infl.:рѣки,рѣкы,реки|pl., f., acc., infl.:рѣки|pl., f., dat., infl.:рѣкамъ|pl., f., loc., infl.:рѣкахъ|sg., m., acc., infl.:рѣкꙋ
